date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:23:53	0/0	---M-Z	302	error ('Found')	text/html	date:Tue,%2008%20May%202018%2003:23:51%20GMT	https://vimeo.com/cart/plus	C:/My%20Web%20Sites/Demo/vimeo.com/cart/plus	(from https://vimeo.com/upgrade)
10:23:53	20740/20740	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:23:52%20GMT	https://vimeo.com/store/plus	C:/My%20Web%20Sites/Demo/vimeo.com/store/plus.html	(from https://vimeo.com/upgrade)
10:23:53	0/0	---M-Z	302	error ('Found')	text/html	date:Tue,%2008%20May%202018%2003:23:52%20GMT	https://vimeo.com/cart/pro	C:/My%20Web%20Sites/Demo/vimeo.com/cart/pro	(from https://vimeo.com/upgrade)
10:23:54	20711/20711	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:23:53%20GMT	https://vimeo.com/store/pro	C:/My%20Web%20Sites/Demo/vimeo.com/store/pro.html	(from https://vimeo.com/upgrade)
10:23:54	0/0	---M-Z	302	error ('Found')	text/html	date:Tue,%2008%20May%202018%2003:23:53%20GMT	https://vimeo.com/cart/business	C:/My%20Web%20Sites/Demo/vimeo.com/cart/business	(from https://vimeo.com/upgrade)
10:23:55	20732/20732	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:23:53%20GMT	https://vimeo.com/store/business	C:/My%20Web%20Sites/Demo/vimeo.com/store/business.html	(from https://vimeo.com/upgrade)
10:23:55	0/0	---M-Z	302	error ('Found')	text/html	date:Tue,%2008%20May%202018%2003:23:54%20GMT	https://vimeo.com/cart/premium	C:/My%20Web%20Sites/Demo/vimeo.com/cart/premium	(from https://vimeo.com/upgrade)
10:23:55	20745/20745	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2003:23:54%20GMT	https://vimeo.com/store/premium	C:/My%20Web%20Sites/Demo/vimeo.com/store/premium.html	(from https://vimeo.com/upgrade)
10:23:56	3352/3352	---M--	200	added ('OK')	image/png	etag:%22d18-55febc9413380%22	https://f.vimeocdn.com/images_v6/everyone/testimonial_motiongrapher.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/everyone/testimonial_motiongrapher.png	(from https://vimeo.com/upgrade)
10:23:56	7873/7873	---M--	200	added ('OK')	image/png	etag:%221ec1-5602ca5244b40%22	https://f.vimeocdn.com/images_v6/everyone/testimonial_allie_avital.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/everyone/testimonial_allie_avital.png	(from https://vimeo.com/upgrade)
10:23:56	4134/4134	---M--	200	added ('OK')	image/png	etag:%221026-5690a226224c0%22	https://f.vimeocdn.com/images_v6/everyone/testimonial_the_muse.png	C:/My%20Web%20Sites/Demo/f.vimeocdn.com/images_v6/everyone/testimonial_the_muse.png	(from https://vimeo.com/upgrade)
10:23:56	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20May%202018%2003:23:55%20GMT	https://vimeo.com/videoschool	C:/My%20Web%20Sites/Demo/vimeo.com/videoschool	(from https://vimeo.com/upgrade)
10:23:57	0/0	---M-Z	302	error ('Found')	text/html	date:Tue,%2008%20May%202018%2003:23:55%20GMT	https://vimeo.com/settings/profile	C:/My%20Web%20Sites/Demo/vimeo.com/settings/profile	(from https://vimeo.com/upgrade)
